ID,Title,Artist,Year,ISRC,Youtube-URL,URL,Spotify-URL,QR
00001,Wann wird's mal wieder richtig Sommer,Rudi Carrell,1975,,https://www.youtube.com/watch?v=KzEOvyDcVas,https://hitstergame.com/de/00001,,
00002,You Can Call Me Al,Paul Simon,1986,,https://www.youtube.com/watch?v=uq-gYOrU8bA,https://hitstergame.com/de/00002,,
00003,Start Me Up,The Rolling Stones,1981,,https://www.youtube.com/watch?v=SGyOaCXr8Lw,https://hitstergame.com/de/00003,,
00004,The Twist,Chubby Checker,1960,,https://www.youtube.com/watch?v=-CCgDvUM4TM,https://hitstergame.com/de/00004,,
00005,Blurred Lines,Robin Thicke feat. T.I. & Pharrell Williams,2013,,https://www.youtube.com/watch?v=yyDUC1LUXSU,https://hitstergame.com/de/00005,,
00006,Hangover,"Taio Cruz, Flo Rida",2011,,https://www.youtube.com/watch?v=dLhFDYQHDQY,https://hitstergame.com/de/00006,,
00007,One More Time,Daft Punk,2000,,https://www.youtube.com/watch?v=FGBhQbmPwH8,https://hitstergame.com/de/00007,,
00008,China In Your Hand,T'Pau,1987,,https://www.youtube.com/watch?v=T4sV3lqzKqQ,https://hitstergame.com/de/00008,,
00009,The Best,Tina Turner,1989,,https://www.youtube.com/watch?v=GC5E8ie2pdM,https://hitstergame.com/de/00009,,
00010,The Hustle,Van McCoy & The Soul City Symphony,1975,,https://www.youtube.com/watch?v=SFzMs2SN--s,https://hitstergame.com/de/00010,,
00011,Piece of My Heart,Erma Franklin,1967,,https://youtu.be/L0QAxIKf8G4?t=16,https://hitstergame.com/de/00011,,
00012,Hungry Eyes,Eric Carmen,1987,,https://www.youtube.com/watch?v=2ssCL292DQA,https://hitstergame.com/de/00012,,
00013,Karma Chameleon,Culture Club,1983,,https://www.youtube.com/watch?v=JmcA9LIIXWw,https://hitstergame.com/de/00013,,
00014,99 Luftballons,Nena,1983,,https://www.youtube.com/watch?v=Fpu5a0Bl8eY,https://hitstergame.com/de/00014,,
00015,Beinhart,Torfrock,1990,,https://www.youtube.com/watch?v=Pmi0XqTlEY8,https://hitstergame.com/de/00015,,
00016,In Da Club,50 Cent,2003,,https://www.youtube.com/watch?v=5qm8PH4xAss,https://hitstergame.com/de/00016,,
00017,Don't Go,Yazoo,1982,,https://www.youtube.com/watch?v=_sQGwDeambg,https://hitstergame.com/de/00017,,
00018,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,,https://www.youtube.com/watch?v=LX366rnYTB4,https://hitstergame.com/de/00018,,
00019,7 Years,Lukas Graham,2015,,https://www.youtube.com/watch?v=LHCob76kigA,https://hitstergame.com/de/00019,,
00020,Sugar-Baby,Peter Kraus,1958,,https://www.youtube.com/watch?v=-9R3_53qe08,https://hitstergame.com/de/00020,,
00021,Lean On (feat. MØ),Major Lazer & DJ Snake,2015,,https://www.youtube.com/watch?v=YqeW9_5kURI,https://hitstergame.com/de/00021,,
00022,Einmal um die Welt,CRO,2012,,https://www.youtube.com/watch?v=u2pySXCmwpc,https://hitstergame.com/de/00022,,
00023,Ich will keine Schokolade,Trude Herr,1960,,https://www.youtube.com/watch?v=2OqgIupSf5k,https://hitstergame.com/de/00023,,
00024,80 Millionen,Max Giesinger,2016,,https://www.youtube.com/watch?v=uC08L4xxjNM,https://hitstergame.com/de/00024,,
00025,Friday I'm In Love,The Cure,1992,,https://www.youtube.com/watch?v=mGgMZpGYiy8,https://hitstergame.com/de/00025,,
00026,What Is Love,Haddaway,1993,,https://www.youtube.com/watch?v=HEXWRTEbj1I,https://hitstergame.com/de/00026,,
00027,Auf uns,Andreas Bourani,2014,,https://www.youtube.com/watch?v=k9EYjn5f_nE,https://hitstergame.com/de/00027,,
00028,Don't Stop Believin',Journey,1981,,https://www.youtube.com/watch?v=1k8craCGpgs,https://hitstergame.com/de/00028,,
00029,Orinoco Flow,Enya,1988,,https://www.youtube.com/watch?v=LTrk4X9ACtw,https://hitstergame.com/de/00029,,
00030,Über den Wolken,Reinhard Mey,1974,,https://www.youtube.com/watch?v=fZMFF8QH3ew,https://hitstergame.com/de/00030,,
00031,Rehab,Amy Winehouse,2006,,https://www.youtube.com/watch?v=KUmZp8pR1uc,https://hitstergame.com/de/00031,,
00032,Liebeskummer lohnt sich nicht,Siw Malmkvist,1964,,https://www.youtube.com/watch?v=mUUJxMiznfc,https://hitstergame.com/de/00032,,
00033,You Make Me Feel (Mighty Real),Sylvester,1978,,https://www.youtube.com/watch?v=gD6cPE2BHic,https://hitstergame.com/de/00033,,
