Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0X6sLL2DHHmwHYqlF22J2x,"Sie war erst siebzehn (und neu in der Stadt)","Das beste aus 40 Jahren Hitparade","Frank Farian",2009-02-19,311493,22,ta8hnikdhdctwuvkj2nl9itix,2024-06-04T16:02:59Z,"classic schlager","Farian",0.529,0.7,2,-8.114,1,0.0303,0.204,0.00000386,0.25,0.527,114.008,4
67WTwafOMgegV6ABnBQxcE,"Some Nights","Some Nights","fun.",2012-02-14,277040,66,ta8hnikdhdctwuvkj2nl9itix,2024-06-04T16:02:59Z,"baroque pop,metropopolis,neo mellow","Fueled By Ramen",0.672,0.738,0,-7.045,1,0.0506,0.0178,0.0000675,0.0927,0.392,107.938,4
07PFC8QHsm3mql76jDucwH,"Daylight in Your Eyes (Radio Version)","Elle'Ments","No Angels",2001-03-12,211600,54,ta8hnikdhdctwuvkj2nl9itix,2024-06-04T16:02:59Z,"german pop,girl group","BMG Rights Management GmbH",0.612,0.766,9,-6.535,1,0.0419,0.494,0,0.149,0.471,125.149,4
1Hv1VTm8zeOeybub15mA2R,"Smooth Operator - Single Version","The Best of Sade","Sade",1994-10-31,258693,79,ta8hnikdhdctwuvkj2nl9itix,2024-06-04T16:02:59Z,"british soul,sophisti-pop","Epic",0.734,0.58,9,-6.619,0,0.0321,0.238,0.0006,0.0298,0.962,119.336,4
1dB19ppPm5cMuLaEm9jbDD,"Stimme","Stimme","EFF,Mark Forster",2015-11-27,186618,47,ta8hnikdhdctwuvkj2nl9itix,2024-06-04T16:02:59Z,"german pop","Virgin",0.767,0.808,8,-4.636,0,0.0623,0.0614,0.00000196,0.251,0.601,121.996,4
5NNIxs46bsdO4DLZALKVoG,"Taschenrechner - 2009 Remaster","Computerwelt (2009 Remaster, German Version)","Kraftwerk",1981,304106,26,ta8hnikdhdctwuvkj2nl9itix,2024-06-04T16:02:59Z,"dusseldorf electronic,early synthpop,electro,proto-techno,synthpop","Parlophone UK",0.816,0.536,6,-12.363,1,0.0623,0.25,0.845,0.09,0.97,135.813,4
2aEuA8PSqLa17Y4hKPj5rr,"Cheri Cheri Lady","Let's Talk About Love","Modern Talking",1985,226333,79,ta8hnikdhdctwuvkj2nl9itix,2024-06-04T16:02:59Z,"europop,synthpop","Hansa Local",0.677,0.616,10,-13.826,1,0.032,0.458,0.0132,0.349,0.851,114.223,4
1XyL3J7eTTKnxRZAM3LqIT,"Beggin (original version)","So Dark The Con Of Man","Madcon",2007-12-03,216146,68,ta8hnikdhdctwuvkj2nl9itix,2024-06-04T16:02:59Z,"norwegian hip hop","Bonnier Music",0.715,0.8,4,-5.144,0,0.057,0.0271,0,0.0648,0.445,129.023,4
2ukGu6BitcHW61wMPrYHy2,"Bohemian Like You","Massive Hits!: Alternative","The Dandy Warhols",2013-03-08,208906,29,ta8hnikdhdctwuvkj2nl9itix,2024-06-04T16:02:59Z,"alternative rock,dance-punk","Parlophone UK",0.578,0.936,9,-5.761,1,0.0364,0.00305,0.688,0.47,0.659,131.275,4
1rbnDRx6VuKAGS36CmiyQD,"An Tagen wie diesen","Am Wasser gebaut","Fettes Brot,Pascal Finkenauer",2005-03-21,241666,57,ta8hnikdhdctwuvkj2nl9itix,2024-06-04T16:02:59Z,"german alternative rap,german jazz rap,german pop,german rock,hamburg hip hop,oldschool deutschrap,german indie folk","Fettes Brot Schallplatten",0.664,0.921,9,-3.803,0,0.104,0.0251,0,0.175,0.766,158.381,4
