Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
59VR9MekNIMRLxQYfSn3Qr,"Wann wird's mal wieder richtig Sommer","Das Beste von Rudi Carrell","Rudi Carrell",2007-01-27,263106,0,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"classic schlager","montanamusic",0.625,0.383,2,-11.542,1,0.0805,0.324,0,0.136,0.631,80.536,4
0qxYx4F3vm1AOnfux6dDxP,"You Can Call Me Al","Graceland (25th Anniversary Deluxe Edition)","Paul Simon",1986-08-12,280000,73,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"classic rock,folk,folk rock,mellow gold,permanent wave,rock,singer-songwriter,soft rock","Legacy Recordings",0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,4
7HKez549fwJQDzx3zLjHKC,"Start Me Up - Remastered 2009","Tattoo You (2009 Re-Mastered)","The Rolling Stones",1981-08-24,213066,76,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"album rock,british invasion,classic rock,rock","Polydor Records",0.631,0.932,5,-4.142,1,0.0354,0.0429,0.137,0.0918,0.971,122.431,4
6DSvUZQdqtNfkJI4cAiUsM,"The Twist","Chubby Checker Classics","Chubby Checker",1962-01-01,158866,44,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"rock-and-roll,rockabilly","TEEC Recordings",0.525,0.838,4,-8.42,1,0.0318,0.0134,0.0053,0.0382,0.972,155.03,4
2pgbGOb00WrlXY3ZRFKn7v,"Blurred Lines","Sun and Fun","Robin Thicke,T.I.,Pharrell Williams",2020-07-31,263053,0,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"dance pop,neo soul,pop rap,r&b,urban contemporary,atl hip hop,dirty south rap,gangster rap,hip hop,rap,southern hip hop,trap,pop","UME - Global Clearing House",0.857,0.511,7,-7.421,1,0.0497,0.00372,0.0000414,0.0684,0.865,119.992,4
23TrBtndcavtlYBQg5GoR8,"Hangover","Hangover","Taio Cruz,Flo Rida",2011-01-01,244506,36,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"dance pop,pop,pop rap,miami hip hop","Universal-Island Records Ltd.",0.602,0.881,0,-3.237,0,0.0402,0.00751,0,0.15,0.616,128.014,4
2Uy6EhQXAYkXA6MohPgjpV,"One More Time - Radio Edit [Short Radio Edit]","One More Time","Daft Punk",2000-11-13,235466,52,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"electro,filter house,rock","Daft Life Ltd./ADA France",0.648,0.671,2,-8.49,1,0.104,0.0348,0,0.376,0.533,122.891,4
3U9B0ZcnVPisVh9wGOg6qL,"China In Your Hand - Single Version","Hits","T'Pau",2005-01-01,247026,45,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"new romantic,new wave pop,synthpop","EMI Marketing",0.386,0.725,11,-6.896,1,0.0395,0.361,0,0.122,0.283,139.843,4
6pPWRBubXOBAHnjl5ZIujB,"The Best","Foreign Affair","Tina Turner",1989-09-13,329800,69,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"soft rock","Parlophone UK",0.662,0.737,0,-9.54,1,0.0296,0.108,0.0191,0.119,0.744,103.867,4
2yDXsPUm95218qlAQfnilm,"The Hustle","Music For Partying","Van McCoy & The Soul City Symphony",2007-01-01,242840,36,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"","UMC (Universal Music Catalogue)",0.653,0.753,5,-12.624,1,0.0495,0.00492,0.152,0.0439,0.79,111.2,4
2GbePPrWWSRxcmW6QRSPae,"Piece of My Heart","Erma Franklin: Piece Of Her Heart - The Epic And Shout Years","Erma Franklin",2009-02-18,157266,52,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"southern soul","NITRON media",0.467,0.783,8,-5.207,1,0.0528,0.139,0.0214,0.08,0.591,160.841,4
7eafuv44YprITfOdzfVLoU,"Hungry Eyes - From Dirty Dancing Soundtrack","Dirty Dancing (Original Motion Picture Soundtrack)","Eric Carmen",1987-09-24,248426,58,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"new wave pop,soft rock,yacht rock","RCA Records Label",0.701,0.479,5,-13.061,1,0.026,0.0197,0,0.103,0.682,110.514,4
3XDeeP9wBZzGhIPZmLfEEx,"Karma Chameleon","Colour By Numbers","Culture Club",1983-10-01,252760,59,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"new romantic,new wave,new wave pop,soft rock,synthpop","Virgin Catalogue",0.661,0.552,10,-12.385,1,0.0337,0.214,0,0.206,0.928,92.056,4
4ZhPLoMzZwewHLLjV1J15c,"99 Luftballons","Nena","Nena",1983-09-23,232466,7,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"german pop,new wave pop","BMG Rights Management GmbH",0.575,0.555,4,-7.495,1,0.0453,0.103,0.0000013,0.111,0.504,95.361,4
2zygsl5Awjq2CuJc1L55x0,"Beinhart - Single Version","Beinhart","Torfrock",2006-07-05,198040,44,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"german rock,kabarett,medieval rock","Pingo Music",0.618,0.764,9,-10.346,1,0.15,0.302,0,0.396,0.906,163.323,4
7iL6o9tox1zgHpKUfh9vuC,"In Da Club","Get Rich Or Die Tryin'","50 Cent",2003-02-06,193466,81,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap","Shady Records",0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,4
5JOVSWohrjXW0BFTboh8XO,"Don't Go","Upstairs at Eric's","Yazoo",1982-07-01,188466,2,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"new romantic,new wave,new wave pop,synthpop","Mute, a BMG Company",0.803,0.411,6,-16.013,1,0.0521,0.312,0.00344,0.0411,0.654,126.236,4
2tUBqZG2AbRi7Q0BIrVrEj,"I Wanna Dance with Somebody (Who Loves Me)","Whitney","Whitney Houston",1987-06-02,291293,81,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"dance pop,pop","Arista/Legacy",0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4
5kqIPrATaCc2LqxVWzQGbk,"7 Years","Lukas Graham","Lukas Graham",2016-04-01,237300,79,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"danish pop,scandipop","Warner Records",0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,4
6OnOIWxhezuZjF4APOl7oF,"Sugar-Baby","Cadillac Night","Peter Kraus",1989-04-20,152533,36,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"classic schlager,german country","Electrola",0.746,0.557,0,-9.062,1,0.0334,0.837,0.00000171,0.287,0.96,119.517,4
2YWjW3wwQIBLNhxWKBQd16,"Lean On (feat. MØ & DJ Snake)","Peace Is The Mission : Extended","Major Lazer,MØ,DJ Snake",2015-11-27,176561,74,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"dance pop,edm,electro house,moombahton,pop,pop dance,danish pop,electropop,electronic trap","Third Pardee Records",0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4
2L6hCTpUlR2p7Su3hiSB0s,"Einmal um die Welt","Raop","CRO",2012-07-06,142462,1,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"german hip hop","BMG Rights Management",0.726,0.9,9,-4.134,1,0.0401,0.133,0,0.145,0.973,160.128,4
2uwDgQNRc1zS5khCPVM0jl,"Ich will keine Schokolade","Ich bin eine Frau von Format","Trude Herr",2011-01-01,144200,30,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"","Koch Music",0.634,0.591,7,-5.115,1,0.0798,0.803,0.000273,0.225,0.898,80.898,4
4EB11zPPq3jDbhnwWpzFL9,"80 Millionen","Der Junge, der rennt (Deluxe Version)","Max Giesinger",2016-04-08,217040,1,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"german pop,german pop rock","BMG Rights Management GmbH",0.553,0.68,9,-8.297,1,0.0526,0.0751,0.000119,0.309,0.57,114.949,4
4QlzkaRHtU8gAdwqjWmO8n,"Friday I'm In Love","Wish","The Cure",1992-01-01,215160,75,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"new wave,permanent wave,rock,uk post-punk","Polydor Records",0.526,0.763,0,-12.663,0,0.0341,0.00126,0.0000675,0.359,0.514,136.205,4
2IHaGyfxNoFPLJnaEg4GTs,"What Is Love - 7 Mix","The Album","Haddaway",1993-09-13,270373,19,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"eurodance,europop","Coconut Music",0.683,0.772,7,-7.907,0,0.0311,0.0222,0.0149,0.203,0.737,123.871,4
6dXt4t5jgySnVTeTpT4C0l,"Auf uns","Hey","Andreas Bourani",2014-01-01,240600,60,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"german pop","Vertigo Berlin",0.63,0.886,2,-4.615,1,0.0406,0.011,0,0.0697,0.897,127.96,4
4bHsxqR3GMrXTxEPLuK5ue,"Don't Stop Believin'","Escape (Bonus Track Version)","Journey",1981,250986,23,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"album rock,classic rock,hard rock,mellow gold,rock,soft rock","Columbia",0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,4
0Fyj9w0HVfjoxm9S8nGClt,"Orinoco Flow","Themes From Calmi Cuori Appassionati","Enya",2001,266226,58,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"celtic,gregorian dance,operatic pop","WM UK",0.682,0.44,0,-12.117,1,0.028,0.651,0.0439,0.116,0.533,114.985,4
5JSzcnZbYk3qv3nEn5Bo41,"Über den Wolken","Die Grossen Erfolge","Reinhard Mey",1998-01-01,233133,46,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"austropop,german rock,kabarett,liedermacher,ostrock","Intercord",0.616,0.415,7,-16.116,1,0.097,0.312,0.0000461,0.509,0.843,119.987,4
3N4DI1vuTSX1tz7fa2NQZw,"Rehab","Back To Black (Deluxe Edition)","Amy Winehouse",2006,214946,73,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"british soul,neo soul","Universal-Island Records Ltd.",0.407,0.558,0,-13.609,1,0.0552,0.0537,0.00000142,0.34,0.777,71.815,4
3DMk51IjcSdYmUT51QWfm1,"Liebeskummer lohnt sich nicht","Originalinspelningar 1955-1980","Siw Malmkvist",1955,148840,36,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"classic swedish pop,vintage swedish pop","WM Sweden",0.579,0.648,1,-8.406,1,0.0396,0.555,0,0.545,0.926,100.266,4
0RnCUYXa7jhgTXtiMXF2PQ,"You Make Me Feel (Mighty Real)","Step II","Sylvester",1978-01-01,400115,59,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"disco,hi-nrg","Craft Recordings",0.629,0.851,5,-11.182,0,0.0294,0.0309,0.303,0.0947,0.961,130.7,4
7e89621JPkKaeDSTQ3avtg,"Sweet Home Alabama","Second Helping (Expanded Edition)","Lynyrd Skynyrd",1974-04-15,283800,78,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"album rock,classic rock,hard rock,rock,southern rock","Geffen*",0.596,0.606,7,-12.145,1,0.0255,0.181,0.000327,0.0863,0.886,97.785,4
6f5sSC3ORfpUMYtE4J06VW,"He Ain't Heavy He's My Brother","20 Golden Greats","The Hollies",1978-07-01,258800,5,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"album rock,british invasion,classic rock,folk rock,mellow gold,merseybeat,soft rock","BMG Rights Management (US) LLC",0.319,0.275,7,-13.195,1,0.0303,0.444,0.000365,0.183,0.253,75.754,4
0oH9kW4faMsq9YgRYirgD0,"Eine neue Liebe ist wie ein neues Leben","Das Beste mit Liebe","Jürgen Marcus",2008-10-11,229613,49,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"classic schlager","Aladin Records",0.615,0.702,9,-6.92,1,0.0324,0.575,0,0.161,0.837,134.205,4
798fUF6UnRn27xiVuKyJCi,"Manic Monday","Different Light","The Bangles",1985-07-17,184173,50,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"album rock,jangle pop,new romantic,new wave,new wave pop,paisley underground,soft rock","Columbia",0.685,0.571,2,-11.623,1,0.0299,0.335,0.00000238,0.214,0.869,121.737,4
2g7gviEeJr6pyxO7G35EWQ,"Paradise By the Dashboard Light","Bat Out Of Hell","Meat Loaf",1977-10-21,508333,63,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"album rock","Cleveland International/ Epic/Legacy",0.326,0.872,2,-7.602,1,0.122,0.214,0,0.461,0.492,173.381,4
1F43XlPBiwAUUIhrUGzylO,"Never Ending Story","Don't Suppose","Limahl",2009-09-25,212173,62,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"new romantic,new wave pop,synthpop","Parlophone UK",0.599,0.622,0,-13.971,1,0.0296,0.359,0.00235,0.114,0.851,122.312,4
5Xc9L411IGVexidbaF7CHG,"Don't Call Me Up","High Expectations","Mabel",2019-08-02,178493,43,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"pop,uk pop","Polydor Records",0.684,0.872,9,-2.85,1,0.124,0.31,0.00000318,0.0725,0.261,98.891,4
3d9DChrdc6BOeFsbrZ3Is0,"Under the Bridge","Blood Sugar Sex Magik (Deluxe Edition)","Red Hot Chili Peppers",1991-09-24,264306,82,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"alternative rock,funk metal,funk rock,permanent wave,rock","Warner Records",0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,4
4Hg99jQ6zjks47xaH8eK40,"König von Deutschland","Rio I.","Rio Reiser",1986-11-05,210826,49,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"german pop,german rock,liedermacher,neue deutsche welle,ostrock","Columbia",0.478,0.944,9,-10.555,1,0.0432,0.109,0,0.15,0.702,168.134,4
6NJNZEjyCD2YWFPsBzIHnM,"Upside Down - Single Version","Diamond Diana: The Legacy Collection","Diana Ross",2017-11-17,217426,36,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"adult standards,disco,motown,quiet storm,soft rock,soul","UNI/MOTOWN",0.867,0.909,5,-6.276,0,0.0581,0.0967,0.0124,0.0433,0.863,108.015,4
6JGQ98So2ik5GVI9ydQ2Yh,"Don't Speak","The Singles Collection","No Doubt",2003-01-01,262746,57,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"dance pop,dance rock,permanent wave,pop rock,rock","Interscope",0.507,0.752,5,-5.439,0,0.0343,0.251,0.000021,0.142,0.554,76.071,4
1b6AW6uDrtrUN0Y6GJR45j,"(I Can't Get No) Satisfaction - (Original Single Mono Version)","Singles 1965-1967","The Rolling Stones",2004-07-12,222973,43,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"album rock,british invasion,classic rock,rock","ABKCO Music and Records, Inc.",0.723,0.881,2,-6.801,1,0.0332,0.0412,0.0263,0.095,0.935,136.277,4
14MgTooapmJdLlEMAr2zAM,"Dilemma (feat. Kelly Rowland)","Simply Deep","Nelly,Kelly Rowland",2002-10-22,289666,55,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"dance pop,gangster rap,hip hop,pop rap,rap,st louis rap,urban contemporary,atl hip hop,hip pop,r&b","Columbia",0.736,0.518,2,-9.333,0,0.182,0.185,0.0000151,0.147,0.579,168.121,4
0UAJH0k4k3slcE83a9UGCe,"Lola","Lola Versus Powerman and the Moneygoround, Pt. One","The Kinks",1970-11-27,241040,1,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock,singer-songwriter","Castle Communications",0.474,0.917,9,-4.19,1,0.0395,0.582,0.231,0.201,0.902,152.113,4
2L5FEDC0MU2a6OEkLjByEd,"Captain Jack - Short Mix","The Mission","Captain Jack",1996-04-24,248533,55,ta8hnikdhdctwuvkj2nl9itix,2022-10-13T10:11:06Z,"eurodance,german techno","Captain Jack",0.667,0.999,1,-4.375,0,0.0828,0.0726,0.0000416,0.238,0.566,149.875,4
