Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5NFZ9y9Px11uTuiSnv8Emn,"Nachts, wenn alles schläft... - Remastered 2005","All The Best","Howard Carpendale",2011-01-01,291266,33,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"classic schlager,schlager","EMI Germany",0.62,0.555,4,-7.658,1,0.0262,0.193,0.000318,0.468,0.649,104.804,4
64B4UbGRLtGRBtiN2m8OvF,"Love Shack - Edit","Love Shack (Edit) / Channel Z","The B-52's",1989,257519,47,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"album rock,classic rock,dance rock,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,zolo","Rhino/Warner Records",0.701,0.792,7,-8.644,0,0.0549,0.142,0.00000128,0.764,0.9,133.451,4
0ikz6tENMONtK6qGkOrU3c,"Wake Me Up Before You Go-Go","Make It Big","Wham!",1984-10-23,231333,79,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"new romantic,new wave,new wave pop,soft rock","Columbia",0.62,0.573,0,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,4
7uEcCGtM1FBBGIhPozhJjv,"Daydream Believer","The Birds, The Bees, & The Monkees","The Monkees",1968-04-22,179613,68,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"album rock,beatlesque,bubblegum pop,classic rock,folk rock,mellow gold,rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop","Rhino",0.51,0.488,7,-10.304,1,0.0304,0.256,0,0.11,0.649,125.683,4
7vu0JkJh0ldukEYbTVcqd0,"Issues","Nervous System","Julia Michaels",2017-07-28,176320,72,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"pop","J/Republic",0.728,0.415,8,-6.852,1,0.0639,0.401,0,0.0616,0.455,114.145,4
5WhqLY64g8U6tkUAFv6dzD,"Black Saturday","Aelita","Mando Diao",2014-10-16,199880,44,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"dalarna indie,swedish garage rock,swedish indie rock","Playground Music",0.576,0.776,4,-5.227,0,0.037,0.0000191,0.818,0.0673,0.463,145.038,4
6KzkqZqhUBEsWYJJa2aBOd,"The Weekend - Radio Edit","Analog Is On","Michael Gray",2007-06-01,192173,64,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"disco house,vocal house","Altra Moda Music",0.686,0.832,4,-5.673,0,0.0725,0.000321,0.127,0.583,0.884,127.023,4
4eHbdreAnSOrDDsFfc4Fpm,"I Will Always Love You","The Bodyguard - Original Soundtrack Album","Whitney Houston",1992-11-17,271093,75,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"dance pop,pop","Arista",0.332,0.214,4,-12.518,1,0.0349,0.845,0.00000562,0.0839,0.11,67.531,4
1kgdslQYmeTR4thk9whoRw,"Tears in Heaven","Rush (Music from the Motion Picture Soundtrack)","Eric Clapton",1992-01-10,271760,68,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"album rock,blues rock,classic rock,electric blues,mellow gold,rock,singer-songwriter,soft rock","Reprise",0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,4
2m5xo4HEFHgOQpqqrxCS5u,"Woman In Love","The Essential Barbra Streisand","Barbra Streisand",2002-01-29,231226,45,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"adult standards,operatic pop,soft rock","Columbia",0.487,0.47,3,-7.35,0,0.0258,0.493,0.0000879,0.291,0.315,169.714,4
74jZhGv0fdLaf9q8AZZ15k,"Please Mr. Postman","Horizon","Carpenters",1975-06-06,172733,62,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"adult standards,mellow gold,soft rock","A&M",0.664,0.547,9,-11.594,1,0.0281,0.139,0.00000179,0.239,0.964,132.943,4
6fXzdWgyZhDeLmlzC7Mvco,"Crucified","Massive Luxury Overdose","Army Of Lovers",1991,214360,55,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"europop","Giant",0.595,0.867,4,-11.737,0,0.0498,0.00357,0.0000533,0.382,0.469,122.118,4
6BOr4LUEiAeg0xUtsgZ6Ri,"Holiday","The Other Ones","The Other Ones",1986-01-01,213800,38,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"","Island Records",0.485,0.812,11,-11.262,0,0.0331,0.0262,0.00447,0.12,0.821,83.583,4
7g3g2sqevicvurLTZ75JTA,"Hijo de la Luna","Entre el Cielo y el Suelo (Bonus Tracks Edition)","Mecano",1986-06-16,259146,67,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"cantautor,latin alternative,latin pop,rock en espanol,spanish pop,spanish pop rock","BMG Rights Management and Administration (Spain) S.L.U",0.45,0.527,1,-7.212,0,0.0341,0.695,0.00000831,0.0685,0.569,179.474,3
3IuSgREoO5y88HdIcE2Xee,"I'd Do Anything For Love (But I Won't Do That) - Single Edit","Bat Out Of Hell II: Back Into Hell (Deluxe)","Meat Loaf",1993-09-14,316466,61,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"album rock","UMC (Universal Music Catalogue)",0.419,0.672,2,-6.353,1,0.0917,0.623,0,0.412,0.304,105.211,4
3DuHOCe1dbf3XKF8uoc5oM,"Soulmate","N.B.","Natasha Bedingfield",2007-04-27,212000,45,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:27:09Z,"dance pop,pop,post-teen pop","Phonogenic",0.486,0.589,3,-5.805,0,0.0385,0.462,0,0.109,0.331,170.049,4
