Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
05wIrZSwuaVWhcv5FfqeH0,"Walking On Sunshine","Katrina & The Waves","Katrina & The Waves",1985,238733,76,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"new wave pop","Capitol Records",0.597,0.87,10,-11.97,1,0.0371,0.0119,0.166,0.0678,0.944,109.901,4
4JaAu7X4zqWols837Myn5X,"Summer In the City","Sommermusik","Joe Cocker",2019-03-15,235066,19,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"album rock,blues rock,classic rock,folk rock,mellow gold,rock,singer-songwriter,soft rock","Warner Music Group - X5 Music Group",0.627,0.757,11,-8.364,0,0.0288,0.243,0.000113,0.141,0.661,88.549,4
2X90tKH59XlulLjbT4vci1,"Perfect","The First Of A Million Kisses","Fairground Attraction",1988-08-08,216573,38,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"new wave pop","RCA Records Label",0.579,0.203,9,-15.216,0,0.0657,0.292,0,0.0866,0.602,138.798,4
2LawezPeJhN4AWuSB0GtAU,"Have You Ever Seen The Rain","Pendulum (Expanded Edition)","Creedence Clearwater Revival",1970-12-07,160133,84,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"album rock,classic rock,country rock,mellow gold,rock,southern rock,swamp rock","Craft Recordings",0.741,0.697,0,-7.028,1,0.0277,0.0664,0.0000228,0.133,0.774,116.109,4
4eJqzRN15DabYK4byfWghD,"Je ne parle pas français","Que Walou","Namika",2018-06-01,180933,51,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"german pop","Jive",0.767,0.516,0,-9.466,0,0.0619,0.134,0,0.503,0.786,102.013,4
1zi7xx7UVEFkmKfv06H8x0,"One Dance","Views","Drake,Wizkid,Kyla",2016-05-06,173986,85,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,afrobeats,afropop,azonto,nigerian hip hop,nigerian pop,uk funky","Cash Money Records/Young Money Ent./Universal Rec.",0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,4
6LTAv2W4zYWM5rSKdgHWZS,"Vayamos compañeros - Radio Edit","Frenetica","Marquess",2007-06-29,181253,49,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"","WM Germany",0.781,0.88,11,-4.818,0,0.0311,0.0557,0,0.201,0.953,118.014,4
0lnxrQAd9ZxbhBBe7d8FO8,"MMMBop","Middle Of Nowhere","Hanson",1997-01-01,268653,65,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"boy band","Island Mercury",0.683,0.937,9,-6.335,1,0.0449,0.00481,0.0046,0.07,0.619,104.879,4
0AQHfKjzky28rf5ytfBANJ,"High","Postcards From Heaven","Lighthouse Family",1997-01-01,308333,66,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"europop,new wave pop","Polydor Records",0.662,0.628,10,-8.502,1,0.0251,0.108,0.0776,0.128,0.588,102.319,4
4czNORk5MjW5WOn98bki32,"All Night Long (All Night) - Single Version","Back To Front","Lionel Richie",1992-01-01,258665,70,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"soft rock","Motown",0.748,0.603,1,-12.044,1,0.043,0.149,0.000261,0.0269,0.828,108.834,4
2sR6PY1YgPZTB8hZflRbFq,"Let The Music Play","Number Ones","Barry White",2009-05-19,213400,44,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"disco,quiet storm,soul","Island Def Jam",0.555,0.813,10,-6.395,1,0.0592,0.0902,0,0.196,0.737,99.26,4
0fXy5mDtuSBtBMkNtAUhG6,"Shut Up (And Sleep With Me) [Original Airplay Mix]","Shut Up (And Sleep With Me)","Sin With Sebastian",1995-02-01,226666,48,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"eurodance","Logic",0.634,0.834,0,-7.688,1,0.0344,0.00654,0.015,0.0651,0.878,137.968,4
06HRc41zK97Hh9AcuyXVZn,"Baila Me","Este Mundo","Gipsy Kings",1991-07-22,224506,52,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"flamenco,rumba,world","Sony Music CG",0.775,0.722,7,-13.042,1,0.0906,0.442,0,0.0862,0.889,119.39,4
20XdEFyaUR9C7aDIdq2OAd,"Summertime","Homebase","DJ Jazzy Jeff & The Fresh Prince",1991-07-09,270973,58,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"golden age hip hop,old school hip hop,philly rap","Jive",0.677,0.539,7,-14.439,1,0.063,0.0455,0.00000184,0.845,0.469,95.116,4
1YwPNemawMgGe6sF4U0FTE,"Suavemente","Suavemente...Los Exitos","Elvis Crespo",2008-10-14,266306,62,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"latin pop,salsa,tropical","Sony Music Latin",0.809,0.883,8,-2.965,1,0.0689,0.238,0.00234,0.0625,0.918,124.096,4
4kLLWz7srcuLKA7Et40PQR,"I Gotta Feeling","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","Black Eyed Peas",2009-01-01,289133,80,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"dance pop,pop,pop rap","Interscope",0.744,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.966,4
2oWMI54r0qT4N8Xb4C76vq,"The Look","Look Sharp! (Extended Version)","Roxette",1988-10-21,237320,18,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"europop,swedish pop,synthpop","WM Sweden",0.634,0.838,2,-5.363,1,0.0413,0.0531,0.00000834,0.0522,0.541,95.011,4
3CiM7fBGbaP6jiyuH2Ot4j,"Mysterious Girl - Radio Edit","Natural (Eastwest Release)","Peter Andre",1997-01-10,217106,50,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"europop,talent show","A & E Records/WMI",0.655,0.822,8,-5.755,1,0.211,0.14,0,0.298,0.859,171.983,4
3H7ihDc1dqLriiWXwsc2po,"Breaking Me","Breaking Me","Topic,A7S",2019-12-19,166793,72,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"german dance,pop dance,pop edm,uk dance,scandipop","Virgin",0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,4
6dGnYIeXmHdcikdzNNDMm2,"Here Comes The Sun - Remastered 2009","Abbey Road (Remastered)","The Beatles",1969-09-26,185733,82,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"british invasion,classic rock,merseybeat,psychedelic rock,rock","EMI Catalogue",0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.177,4
6aRlZoOO6dqXQtqq2wiQZ1,"Eine Woche wach","Eine Woche wach","Mickie Krause",2019-05-10,235899,50,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"discofox,kolsche karneval,partyschlager,schlager","Electrola",0.712,0.997,7,-3.078,1,0.075,0.0624,0,0.33,0.76,133.998,4
4hKWUzhQWsOkgT6LnDEASe,"Was du Liebe nennst","Was Du Liebe nennst","Bausa",2017-09-29,203630,54,ta8hnikdhdctwuvkj2nl9itix,2024-02-29T16:16:33Z,"german hip hop","WM Germany",0.874,0.487,2,-8.154,1,0.0641,0.393,0.0000296,0.0524,0.746,144.956,4
