Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6S0Y6EQoeWX8sh3iydAUN5,"Heute male ich dein Bild, Cindy Lou (The Birds and the Bees)","Drafi!","Drafi Deutscher",1987-05-01,125426,29,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager","EastWest Germany",0.525,0.821,9,-8.846,1,0.0641,0.298,0.0000245,0.33,0.914,112.247,4
3AQLL3Waks6LJ9FI8TFHGA,"Aloha Heja He","Melancholie und Sturmflut (Bonus Tracks Edition)","Achim Reichel",1991-01-01,243146,2,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"german rock,neue deutsche welle,ostrock","BMG Rights Management GmbH",0.686,0.735,8,-7.063,1,0.0332,0.168,0.0000888,0.44,0.483,110.577,4
2nRvwfAs9iTfxvUNHWcJNL,"Herz auf rot","Herz Auf Rot","G.G. Anderson",2003-01-01,198600,18,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,schlager,volksmusik","Koch Music",0.771,0.772,2,-7.231,1,0.0327,0.258,0.0000375,0.121,0.692,119.982,4
7g3M5euTiBBoTJ9bQ12tYr,"Sternenregen","Pures Leben","Thomas Anders",2017-04-07,222268,29,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"schlager","WM Germany",0.619,0.913,1,-4.937,1,0.0312,0.0266,0.0000158,0.137,0.943,125.985,4
0mwDB1nJ18ln9zoO4bkrOt,"Das Lied der Schlümpfe","Im Land der Schlümpfe","Vader Abraham",1978-10-10,244734,35,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic belgian pop,levenslied,nederpop,vintage dutch pop","Omega",0.686,0.457,9,-17.059,1,0.305,0.811,0.293,0.0784,0.895,168.496,4
3oS0q79t6MUPzkKv8ykMcO,"Jenseits von Eden - Single Version","Die Grössten Hits","Nino de Angelo",1995-01-01,231840,53,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,schlager","Koch Music",0.482,0.755,2,-7.994,1,0.0313,0.63,0.00000491,0.106,0.638,177.862,4
6NvKqGgbYwbqWRVyIdZjGR,"Die Hände Zum Himmel","Hände Gut, Alles Gut","Die Kolibris",2010-08-01,176822,29,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"karneval,kolsche karneval","Novesia Musikvertrieb",0.753,0.721,7,-5.19,1,0.0306,0.0799,0,0.332,0.42,122.011,4
4geRKNmqbOSJc1GvweEAUK,"So wie man tanzt so liebt man","Das volle Programm","Maite Kelly",2011-01-01,178013,20,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,schlager","Polydor Munchen",0.783,0.777,9,-6.117,0,0.0354,0.23,0,0.143,0.94,122.942,4
0MGLXSJHMO1IY0LiQKYR5i,"Ich lass' nur noch Sonne in mein Herz","Frei sein","Liane",2014-05-08,205480,25,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"discofox,schlager","TELAMO/WM Germany",0.718,0.875,7,-4.458,1,0.0318,0.0634,0.0000688,0.294,0.942,131.983,4
02NKTxBbcbauX1saQ6Vlcm,"Schönes Mädchen aus Arcadia","Goodbye, My Love, Goodbye","Demis Roussos",2000-01-01,203733,30,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"","Mercury",0.511,0.644,7,-10.179,1,0.0386,0.495,0,0.351,0.887,77.029,4
0YMzG6R5oOEuQiKmyu72JN,"Ich will dich immer noch","Männer Sind Krieger","Matthias Reim",2007-01-01,213093,20,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,german pop,schlager","Electrola",0.581,0.88,6,-6.742,0,0.0865,0.0223,0,0.159,0.688,131.999,4
1waQTvOWV18qC4qEyo9pGu,"I steh auf Bergbauernbuam","Wirbelwind","Melissa Naschenweng",2019-01-11,181475,50,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"austropop,schlager","Ariola Local",0.631,0.819,0,-5.376,1,0.0397,0.00322,0,0.236,0.903,122.063,4
1wNXkEKCcspETALfsr7GvN,"Welch ein Tag","Welch ein Tag","Mario Jordan",1992-02-26,239466,0,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"","Global",0.442,0.526,0,-7.838,1,0.0271,0.365,0.00000241,0.125,0.406,92.922,4
1RcWWgnw5fVm3wcNq11zBu,"Mama Laudaaa","Mama Laudaaa","Almklausi,Specktakel",2018-02-07,215976,55,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"discofox,oktoberfest,partyschlager","Xtreme Sound Recordings",0.635,0.971,11,-2.585,1,0.136,0.0686,0,0.367,0.745,140.086,4
5ZC4HBv4CnBuppLIycGJIq,"Frankreich, Frankreich","Premium Gold Collection","Bläck Fööss",1997-01-01,258466,25,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"karneval,kolsche karneval","Electrola",0.797,0.693,0,-11.516,0,0.177,0.0228,0.0000696,0.152,0.645,139.905,4
3Wc1b0B74Xw65k5paLxFzu,"Ich Bin Da","Ich Bin Da","Jan Smit",2013-06-28,214386,18,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"dutch pop,dutch rock,kermis,levenslied","Vosound Records",0.667,0.69,2,-4.9,1,0.0268,0.0242,0,0.118,0.399,119.994,4
1dv17FKzaL1rXrZbtoESBJ,"Heute fährt die 18 bis nach Istanbul","Heute fährt die 18 bis nach Istanbul","BB Jürgen",2005-11-24,170026,31,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"discofox,partyschlager","Xtreme Sound Recordings",0.878,0.929,6,-5.848,0,0.173,0.156,0,0.318,0.88,130.927,4
6aUN5gXfkXKl4GBiVTLLZI,"Der Eiermann","Ach Du Dickes Ei","Klaus & Klaus",1988,221426,30,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,discofox,partyschlager","Pingo Music",0.722,0.836,2,-5.85,1,0.0333,0.412,0,0.0278,0.762,103.157,4
1M3nns66BR1nO4IJiMzuwF,"Zu nah am Feuer","Duette und Balladen","Stefan Waggershausen,Alice",2003-03-24,282666,18,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"austropop,classic schlager,neue deutsche welle,ostrock,classic italian pop","Miau MV GmbH",0.651,0.513,9,-13.046,1,0.0285,0.288,0,0.331,0.823,109.677,4
3DelaacjOD7LpDygDydl9L,"Hier spricht die Polizei","Wilde Zeiten","Sandy Wagner",2002-10-28,183653,17,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"discofox,schlager","DA Records",0.777,0.805,9,-4.785,1,0.0451,0.151,0,0.0605,0.828,137.882,4
3UeKTVMcnZbpOfR3OVF9D1,"Kettenkarussell","Meine neue Liebe","Ross Antony",2013-06-27,218573,16,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,discofox,schlager","TELAMO/WM Germany",0.672,0.999,6,-3.943,1,0.0556,0.00366,0.00000365,0.342,0.877,130.031,4
02L6Gd6M9LaBxaSeum3bwV,"Schlager ist nicht kriminell","Schlager ist nicht kriminell","Rebel Tell",2022-07-15,145453,16,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"","TELAMO/WM Germany",0.576,0.975,7,-3.971,1,0.0697,0.000162,0.000023,0.173,0.558,97.525,4
4WLKnFCLxcK0Wtx7T8FDIQ,"Su Mädche wie mir - Zwei Kerle wie wir (Orginal)","Gestatten, Colör","Colör",2001-12-02,180426,13,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"karneval,kolsche karneval","VeedelTon",0.674,0.878,0,-3.056,1,0.051,0.074,0,0.318,0.837,117.427,4
3TBRJsLCcwroEkA3tD4u2N,"Der Kommissar","Einzelhaft","Falco",1982-02-19,232588,60,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"austropop,neue deutsche welle","Ariola",0.93,0.607,7,-10.389,1,0.0457,0.0526,0.00000522,0.039,0.95,118.242,4
5lo52acOaW0GDQYrhZwzoS,"Dein Zug ist abgefahr’n","König der Piraten","Nico Gemba",2007-03-13,299226,15,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"discofox,schlager","Sam Media",0.686,0.992,3,-4.693,1,0.0596,0.179,0.00000666,0.064,0.794,131.986,4
07gDofsPhMYgXz6zNbCuaI,"Mein lieber Mann","Ihre Grösten Erfolge","Hanne Haller",2001-01-01,253746,35,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager","Electrola",0.615,0.711,9,-8.64,1,0.0399,0.635,0,0.771,0.734,107.907,3
5qvdVmvmbMGWMcmZ60vlPu,"Codo (...düse im Sauseschritt)","Die NDW Hits - Das beste aus 40 Jahren Hitparade","Döf",2009-02-19,264533,44,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"austropop,neue deutsche welle","Ariola Express",0.672,0.72,7,-8.5,1,0.0887,0.596,0.000132,0.0742,0.772,80.372,4
32hWGHVUBskZ1sr49ecbEg,"Du bist alles (Maria, Maria) (You Want Love) - Original","Andreas Martin - All The Best","Andreas Martin",2011-01-01,238520,24,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,discofox,schlager,volksmusik","EMI Germany",0.723,0.902,2,-6.52,1,0.0277,0.267,0,0.1,0.888,109.367,4
4wWCfdkg0aWAwXZNs9qpoa,"Verliab di","Cafe Toscana","Trenkwalder",2003-01-13,251933,13,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"","Ariola",0.58,0.659,0,-6.295,1,0.0271,0.0336,0,0.165,0.714,82.954,4
1fE2zhbqWBo0DgAJmHEVx2,"1000 Träume weit (Tornero)","Hurra Wir Leben Noch","Anna-Maria Zimmermann",2010-01-01,253346,43,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,discofox,partyschlager,schlager","EMM",0.684,0.966,11,-2.69,1,0.0303,0.342,0.147,0.0446,0.899,120.012,4
0sKIlIyuCtb59r8MYmB2cb,"Zeit zu gehen","Gipfelstürmer","Unheilig",2014-12-08,250986,48,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"dark rock,german metal,german pop,neue deutsche harte","Vertigo Berlin",0.595,0.84,9,-7.288,1,0.0382,0.000352,0.00416,0.0906,0.624,104.017,4
2HhKDdGjgXC4vyDOmtwzNP,"Ich will dich für immer - Disco Fox","Küss Mich","NIC",2008-01-01,215413,0,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"discofox,schlager","Electrola",0.766,0.797,0,-6.563,1,0.0296,0.18,0,0.105,0.745,128.001,4
2HclOVB5b88sN0Ac2mnNCb,"Steirermen San Very Good","40 Goldene Jahre","Das Stoakogler Trio",2008-01-01,148600,14,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"volksmusik","Koch Music",0.822,0.899,6,-4.661,1,0.0385,0.19,0,0.133,0.973,111.955,4
0MOVuqZgdwYdJiOFv3hyhz,"Irgendwie Wird's Schon Geh'n - Remastered 2003","Glanzlichter","Tom Astor",2014-01-01,218573,14,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,german country","Electrola",0.439,0.913,4,-7.718,1,0.0544,0.145,0,0.0588,0.939,205.074,4
1lqS2d1wKlz4jGWtz6nZ2V,"Die Pure Lust am Leben","Die Geier fliegen tief!","Geier Sturzflug",2005-05-31,215186,33,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"austropop,classic schlager,german rock,neue deutsche welle,ostrock","A. & R. Pisch Musicproduction",0.674,0.698,10,-6.448,1,0.0556,0.58,0,0.336,0.914,140.066,4
2jvPETfvUp63D05WMRR5lV,"Sind Sie der Graf von Luxemburg?","Wärst Du doch in Düsseldorf geblieben (Originale)","Dorthe",1968-01-01,171613,35,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,volksmusik","Koch Music",0.604,0.467,5,-10.743,0,0.028,0.674,0,0.0725,0.821,93.544,4
0yrZHjRVqkajH9xePjFI1C,"Weekend","Dancefieber","DJ Herzbeat,Sarah Engels",2020-06-12,171733,43,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"schlager,german pop","Polydor",0.687,0.761,2,-3.714,1,0.0502,0.262,0,0.169,0.858,122.02,4
7ljqYQ9je16MNSaWg4shQy,"Du mußt deinen Weg alleine gehen","Es geht doch","Dirk Busch",1999-04-12,253373,17,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"","SophistiCat Music",0.603,0.544,2,-7.554,1,0.0304,0.8,0.0013,0.116,0.402,74.799,4
38weYqkGVSMsZqPfV1Epuc,"Nein heißt ja","Dafür leb ich - Das Allerbeste","G.G. Anderson",2002-01-01,195026,14,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,schlager,volksmusik","Koch Music",0.708,0.97,7,-4.082,1,0.0317,0.0317,0.00000157,0.303,0.92,131.958,4
0sckKnlXr0nV9zYfLDmUuF,"Oh, wann kommst du?","Liebeslied jener Sommernacht (Originale)","Daliah Lavi",1970-01-01,202493,35,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager","Electrola",0.598,0.486,10,-10.249,1,0.0327,0.73,0.00000157,0.0849,0.741,107.074,4
7iwZxTPvg1h5rYmmwEd8GI,"Gold","Von Herzen","Jasmin Wagner",2021-07-23,210946,20,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"","Mirabella / Schubert Music Europe GmbH",0.726,0.896,11,-3.325,0,0.0333,0.00308,0.000186,0.936,0.549,127.053,4
4uUdr8JGDWyFe8N8GaJYmS,"Paradies - Single Mix","Wir","Francine Jordi",2015-09-01,194346,32,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,mundart,schlager","Heart Of Berlin",0.76,0.762,5,-4.859,1,0.058,0.03,0.00000603,0.444,0.488,123.952,4
0UsS9sFnIaMMHLox3lP6NB,"Das Kann Nur Liebe Sein (En Vän Som Du)","Gute Laune Hits","Vikinger",2008-01-01,199293,0,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"volksmusik","EMM",0.522,0.724,0,-6.551,1,0.0363,0.0592,0.00000561,0.3,0.691,115.918,4
2mnQXxj6keAVaqa5FpoDSk,"Die Immer Lacht","Die Immer Lacht","Stereoact,Kerstin Ott",2016-03-21,244596,0,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"german dance,german pop,schlager","Armada BNL",0.67,0.849,7,-7.783,1,0.0511,0.00611,0.000121,0.1,0.38,127.993,4
1v207ZF2NQmkp1bp6ehphg,"Ich kauf' mir lieber einen Tirolerhut","O’zapft is! - Die schönsten Volksfest-Hits der 50er & 60er Jahre","Billy Mo",2016-08-07,147133,26,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager","Musictales",0.617,0.54,1,-12.654,1,0.0463,0.563,0,0.131,0.942,113.907,3
16eKf9DcgwytudS5LUDogC,"Wenn ich nur ein Trucker wär","Dieselknechte","Gunter Gabriel,Linda Feller",1996-01-01,321160,19,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,german country","Electrola",0.703,0.749,11,-8.315,0,0.0398,0.0155,0.358,0.0767,0.815,108.038,4
2A8aopZvdCJ9yYoZLt6TqN,"Engel","Engel","Nino de Angelo",2001-09-16,254000,14,ta8hnikdhdctwuvkj2nl9itix,2023-03-28T13:04:49Z,"classic schlager,schlager","Columbia",0.715,0.814,9,-10.371,1,0.127,0.0702,0,0.107,0.476,128.211,4
